"course_id","title","provider","category","level","rating","duration_hours","price_usd","skills_covered","prerequisites","description","url"
"C001","Machine Learning Specialization","Coursera (Stanford/DeepLearning.AI)","AI & Machine Learning","Beginner","4.9","60","49.0","Python; Linear Algebra; Supervised Learning; Unsupervised Learning; Neural Networks","Basic Python","Foundational machine learning program taught by Andrew Ng covering algorithms and practical applications.","https://www.coursera.org/specializations/machine-learning-introduction"
"C002","Deep Learning Specialization","Coursera (DeepLearning.AI)","AI & Machine Learning","Intermediate","4.8","80","49.0","CNNs; RNNs; Transformers; TensorFlow; Optimization","Python; Linear Algebra; Basic ML","Master deep learning and neural network architectures from fundamentals to sequence models.","https://www.coursera.org/specializations/deep-learning"
"C003","CS50's Introduction to Computer Science","edX (Harvard)","Computer Science","Beginner","4.9","100","0.0","C; Python; SQL; Algorithms; Data Structures; Memory Management","None","Harvard University's flagship introduction to computer science and programming methodologies.","https://www.edx.org/course/cs50s-introduction-to-computer-science"
"C004","CS50's Introduction to Artificial Intelligence with Python","edX (Harvard)","AI & Machine Learning","Intermediate","4.8","70","0.0","Graph Search; Minimax; Reinforcement Learning; NLP; Markov Models","Python","Explore concepts and algorithms at the foundation of modern artificial intelligence.","https://www.edx.org/course/cs50s-introduction-to-artificial-intelligence-with-python"
"C005","Full Stack Open 2024","University of Helsinki","Web Development","Intermediate","4.9","120","0.0","React; Node.js; Express; MongoDB; GraphQL; TypeScript; Docker","JavaScript Basics","Deep dive into modern JavaScript-based web development covering single page applications and REST APIs.","https://fullstackopen.com/"
"C006","The Complete 2024 Web Development Bootcamp","Udemy (Dr. Angela Yu)","Web Development","Beginner","4.8","65","19.99","HTML5; CSS3; JavaScript; React; Node.js; PostgreSQL; Web3","None","Comprehensive bootcamp covering frontend and backend technologies through real-world projects.","https://www.udemy.com/course/the-complete-web-development-bootcamp/"
"C007","Fast.ai: Practical Deep Learning for Coders","Fast.ai","AI & Machine Learning","Intermediate","4.9","50","0.0","PyTorch; Fastai; Computer Vision; NLP; Model Deployment","Python","Hands-on top-down deep learning course teaching modern neural network techniques for practical problems.","https://course.fast.ai/"
"C008","Google Data Analytics Professional Certificate","Coursera (Google)","Data Science","Beginner","4.8","180","49.0","Spreadsheets; SQL; Tableau; R Programming; Data Cleaning","None","Gain in-demand skills that lead to an entry-level job in data analytics with no degree needed.","https://www.coursera.org/professional-certificates/google-data-analytics"
"C009","IBM Data Science Professional Certificate","Coursera (IBM)","Data Science","Beginner","4.7","160","49.0","Python; SQL; Data Analysis; Data Visualization; Machine Learning","Basic Math","Kickstart your career in data science with practical labs in Python and Jupyter Notebooks.","https://www.coursera.org/professional-certificates/ibm-data-science"
"C010","Docker and Kubernetes: The Complete Guide","Udemy (Stephen Grider)","Cloud & DevOps","Intermediate","4.8","24","19.99","Docker; Kubernetes; Container Orchestration; CI/CD; AWS Deployment","Basic Terminal","Build test and deploy Docker-based applications using Kubernetes on production cloud clusters.","https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/"
"C011","AWS Certified Solutions Architect Associate (SAA-C03)","Udemy (Stephane Maarek)","Cloud & DevOps","Intermediate","4.8","28","19.99","AWS EC2; S3; VPC; IAM; Lambda; CloudFront; Cloud Architecture","Basic IT Concepts","Comprehensive exam preparation covering core AWS cloud services and best architectural practices.","https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/"
"C012","Google Cloud Associate Cloud Engineer","Coursera (Google Cloud)","Cloud & DevOps","Intermediate","4.7","40","49.0","GCP Compute Engine; Cloud Storage; GKE; IAM; Cloud SQL","Cloud Fundamentals","Prepare for the GCP Associate Cloud Engineer certification with guided labs on Qwiklabs.","https://www.coursera.org/professional-certificates/google-cloud-associate-cloud-engineer"
"C013","The Complete JavaScript Course: From Zero to Expert","Udemy (Jonas Schmedtmann)","Web Development","Beginner","4.8","68","19.99","JavaScript; ES6+; DOM; Asynchronous JS; OOP; Webpack","None","Master modern JavaScript with projects challenges theory and complete coding exercises.","https://www.udemy.com/course/the-complete-javascript-course/"
"C014","React - The Complete Guide (incl. Next.js and Redux)","Udemy (Maximilian Schwarzmüller)","Web Development","Intermediate","4.7","50","19.99","React; Hooks; Redux Toolkit; Next.js; TypeScript; SPA","HTML CSS JS","Dive in and learn React.js from scratch including Redux Hooks and Next.js fullstack features.","https://www.udemy.com/course/react-the-complete-guide-incl-redux/"
"C015","Natural Language Processing Specialization","Coursera (DeepLearning.AI)","AI & Machine Learning","Intermediate","4.7","60","49.0","NLP; Word2Vec; Sentiment Analysis; Transformers; Attention; HuggingFace","Python; Deep Learning","Build NLP applications using sentiment analysis machine translation and question answering models.","https://www.coursera.org/specializations/natural-language-processing-nlp"
"C016","Generative AI with Large Language Models","Coursera (DeepLearning.AI & AWS)","AI & Machine Learning","Intermediate","4.8","20","49.0","LLMs; Transformers; Prompt Engineering; PEFT; LoRA; RLHF; LangChain","Python; Deep Learning","Understand LLM lifecycle from pre-training to fine-tuning and deployment for generative apps.","https://www.coursera.org/learn/generative-ai-with-llms"
"C017","Hugging Face NLP Course","Hugging Face","AI & Machine Learning","Intermediate","4.9","30","0.0","Hugging Face Transformers; Tokenizers; Datasets; Model Hub; Fine-tuning","PyTorch or TensorFlow","Comprehensive hands-on guide to mastering state-of-the-art Natural Language Processing with transformers.","https://huggingface.co/learn/nlp-course/"
"C018","Applied Data Science with Python Specialization","Coursera (University of Michigan)","Data Science","Intermediate","4.6","100","49.0","Pandas; Matplotlib; Scikit-Learn; NLTK; NetworkX; Social Network Analysis","Python Basics","Gain expertise in analyzing and visualizing real-world data using Python scientific libraries.","https://www.coursera.org/specializations/data-science-python"
"C019","Mathematics for Machine Learning Specialization","Coursera (Imperial College London)","AI & Machine Learning","Beginner","4.7","60","49.0","Linear Algebra; Multivariate Calculus; PCA; Eigenvalues; Optimization","High School Math","Bridge the gap between pure mathematics and core practical machine learning algorithms.","https://www.coursera.org/specializations/mathematics-machine-learning"
"C020","Introduction to Cybersecurity Tools & Cyber Attacks","Coursera (IBM)","Cybersecurity","Beginner","4.6","20","49.0","Cyber Threats; Network Security; Cryptography; Firewalls; Incident Response","Basic IT Knowledge","Learn foundational cybersecurity concepts incident management and common attack vectors.","https://www.coursera.org/learn/introduction-cyber-security-tools-cyber-attacks"
"C021","CompTIA Security+ (SY0-701) Complete Course","Udemy (Jason Dion)","Cybersecurity","Intermediate","4.7","32","19.99","Threats; Vulnerabilities; Identity Management; Security Architecture; Cryptography","Networking Basics","All-in-one preparation course for CompTIA Security+ certification covering defense-in-depth.","https://www.udemy.com/course/security-plus/"
"C022","The Complete Ethical Hacking Bootcamp","Udemy (Zaid Sabih)","Cybersecurity","Beginner","4.7","25","19.99","Kali Linux; Penetration Testing; Wireshark; Metasploit; Web Hacking","None","Learn ethical hacking penetration testing and network protection through hands-on virtual labs.","https://www.udemy.com/course/learn-ethical-hacking-from-scratch/"
"C023","Google IT Automation with Python Professional Certificate","Coursera (Google)","Software Engineering","Beginner","4.7","120","49.0","Python; Git; GitHub; Automation; Linux; Bash; Troubleshooting","None","Learn how to automate system administration tasks and manage cloud resources using Python.","https://www.coursera.org/professional-certificates/google-it-automation"
"C024","Missing Semester of Your CS Education","MIT","Computer Science","Beginner","4.9","25","0.0","Vim; Git; Bash; Shell Scripting; SSH; Command Line Tools; Debugging","None","Learn the practical computing tools every computer science student should know but is rarely taught.","https://missing.csail.mit.edu/"
"C025","Design Patterns in Python","Udemy (Dmitri Nesteruk)","Software Engineering","Intermediate","4.6","12","19.99","Creational Patterns; Structural Patterns; Behavioral Patterns; SOLID Principles","Python","Discover modern implementation of classic Gang of Four design patterns in idiomatic Python.","https://www.udemy.com/course/design-patterns-python/"
"C026","Data Structures and Algorithms Specialization","Coursera (UC San Diego)","Computer Science","Intermediate","4.7","150","49.0","Sorting; Trees; Graphs; Dynamic Programming; NP-Completeness; String Algorithms","One Programming Language","Master algorithmic programming techniques to ace software engineering technical interviews.","https://www.coursera.org/specializations/data-structures-algorithms"
